Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
11,0,-12.8366,-7.50305,-10.2306,-18.0794
12,0,-12.5191,-7.32336,-10.36,-18.3007
13,0,-12.1978,-7.14144,-10.4862,-18.5164
14,0,-11.8728,-6.95734,-10.6092,-18.7264
15,0,-11.5442,-6.77112,-10.729,-18.9308
16,0,-11.2121,-6.58284,-10.8456,-19.1294
17,0,-10.8765,-6.39256,-10.9588,-19.3221
18,0,-10.5376,-6.20033,-11.0687,-19.509
19,0,-10.1955,-6.00621,-11.1752,-19.69
20,0,-9.85034,-5.81026,-11.2784,-19.8649
21,0,-9.50215,-5.61254,-11.378,-20.0338
22,0,-9.15107,-5.41311,-11.4743,-20.1966
23,0,-8.79719,-5.21203,-11.567,-20.3532
24,0,-8.44064,-5.00937,-11.6562,-20.5036
25,0,-8.08152,-4.80518,-11.7418,-20.6478
26,0,-7.71993,-4.59952,-11.8239,-20.7857
27,0,-7.356,-4.39247,-11.9024,-20.9173
28,0,-6.98982,-4.18407,-11.9772,-21.0425
29,0,-6.62151,-3.9744,-12.0484,-21.1613
30,0,-6.25119,-3.76352,-12.116,-21.2736
31,0,-5.87896,-3.5515,-12.1798,-21.3795
32,0,-5.50494,-3.33839,-12.2399,-21.4788
33,0,-5.12925,-3.12427,-12.2963,-21.5716
34,0,-4.75199,-2.90919,-12.349,-21.6578
35,0,-4.37329,-2.69323,-12.3979,-21.7375
36,0,-3.99325,-2.47645,-12.443,-21.8105
37,0,-3.612,-2.25891,-12.4843,-21.8769
38,0,-3.22964,-2.04068,-12.5218,-21.9366
39,0,-2.8463,-1.82184,-12.5555,-21.9896
40,0,-2.4621,-1.60243,-12.5854,-22.0359
41,0,-2.07715,-1.38254,-12.6115,-22.0755
42,0,-1.69156,-1.16223,-12.6337,-22.1084
43,0,-1.30545,-0.941569,-12.652,-22.1346
44,0,-0.918955,-0.720617,-12.6665,-22.154
45,0,-0.532174,-0.499446,-12.6772,-22.1666
46,0,-0.145232,-0.278123,-12.684,-22.1726
47,0,0.241755,-0.0567145,-12.6869,-22.1717
48,0,0.628667,0.164711,-12.6859,-22.1641
49,0,1.01539,0.386086,-12.6811,-22.1498
50,0,1.4018,0.607344,-12.6725,-22.1287
51,0,1.78779,0.828416,-12.6599,-22.1008
52,0,2.17323,1.04924,-12.6436,-22.0663
53,0,2.55801,1.26974,-12.6233,-22.025
54,0,2.942,1.48985,-12.5992,-21.977
55,0,3.32511,1.70951,-12.5713,-21.9223
56,0,3.7072,1.92865,-12.5396,-21.8609
57,0,4.08816,2.1472,-12.504,-21.7929
58,0,4.46788,2.3651,-12.4646,-21.7182
59,0,4.84623,2.58228,-12.4214,-21.6369
