Phi[deg],Theta[deg],mag(GainTotal)
126,1,0.000339727
127,1,0.000337923
128,1,0.000336113
129,1,0.0003343
130,1,0.000332482
131,1,0.000330661
132,1,0.000328838
133,1,0.000327012
134,1,0.000325185
135,1,0.000323357
136,1,0.000321528
137,1,0.0003197
138,1,0.000317871
139,1,0.000316044
140,1,0.000314219
141,1,0.000312396
142,1,0.000310576
143,1,0.000308759
144,1,0.000306945
145,1,0.000305136
146,1,0.000303332
147,1,0.000301534
148,1,0.000299741
149,1,0.000297955
150,1,0.000296176
151,1,0.000294405
152,1,0.000292642
153,1,0.000290887
154,1,0.000289142
155,1,0.000287406
156,1,0.00028568
157,1,0.000283965
158,1,0.000282261
159,1,0.000280569
160,1,0.00027889
161,1,0.000277223
162,1,0.000275569
163,1,0.000273929
164,1,0.000272303
165,1,0.000270692
166,1,0.000269096
167,1,0.000267515
168,1,0.000265951
169,1,0.000264403
170,1,0.000262873
171,1,0.00026136
172,1,0.000259864
173,1,0.000258388
174,1,0.00025693
175,1,0.000255491
176,1,0.000254072
177,1,0.000252674
178,1,0.000251296
179,1,0.000249939
180,1,0.000248603
-180,2,0.00110636
-179,2,0.00110375
-178,2,0.00110118
-177,2,0.00109866
-176,2,0.00109618
-175,2,0.00109375
-174,2,0.00109136
-173,2,0.00108903
-172,2,0.00108674
-171,2,0.0010845
-170,2,0.00108231
-169,2,0.00108016
-168,2,0.00107807
-167,2,0.00107604
-166,2,0.00107405
-165,2,0.00107212
-164,2,0.00107024
-163,2,0.00106841
-162,2,0.00106664
-161,2,0.00106492
-160,2,0.00106326
-159,2,0.00106166
-158,2,0.00106011
-157,2,0.00105862
-156,2,0.00105718
-155,2,0.00105581
-154,2,0.00105449
-153,2,0.00105323
-152,2,0.00105203
-151,2,0.00105089
-150,2,0.00104981
-149,2,0.00104879
-148,2,0.00104784
-147,2,0.00104694
-146,2,0.0010461
-145,2,0.00104533
-144,2,0.00104462
-143,2,0.00104397
-142,2,0.00104338
-141,2,0.00104285
-140,2,0.00104239
-139,2,0.00104199
-138,2,0.00104166
-137,2,0.00104138
-136,2,0.00104117
-135,2,0.00104103
-134,2,0.00104095
-133,2,0.00104093
-132,2,0.00104097
-131,2,0.00104108
-130,2,0.00104125
-129,2,0.00104149
-128,2,0.00104179
-127,2,0.00104215
-126,2,0.00104258
-125,2,0.00104307
-124,2,0.00104363
-123,2,0.00104424
-122,2,0.00104493
-121,2,0.00104567
-120,2,0.00104648
-119,2,0.00104735
-118,2,0.00104828
-117,2,0.00104927
-116,2,0.00105033
-115,2,0.00105144
-114,2,0.00105262
-113,2,0.00105386
-112,2,0.00105516
-111,2,0.00105652
-110,2,0.00105794
-109,2,0.00105942
-108,2,0.00106096
-107,2,0.00106256
-106,2,0.00106422
-105,2,0.00106593
-104,2,0.0010677
-103,2,0.00106953
-102,2,0.00107141
-101,2,0.00107335
-100,2,0.00107535
-99,2,0.0010774
-98,2,0.0010795
-97,2,0.00108166
-96,2,0.00108387
-95,2,0.00108613
-94,2,0.00108845
-93,2,0.00109081
-92,2,0.00109323
-91,2,0.00109569
-90,2,0.0010982
-89,2,0.00110076
-88,2,0.00110337
-87,2,0.00110603
-86,2,0.00110873
-85,2,0.00111147
-84,2,0.00111426
-83,2,0.00111709
-82,2,0.00111997
-81,2,0.00112288
-80,2,0.00112584
-79,2,0.00112883
-78,2,0.00113187
-77,2,0.00113494
-76,2,0.00113805
-75,2,0.0011412
-74,2,0.00114438
-73,2,0.00114759
-72,2,0.00115084
-71,2,0.00115412
-70,2,0.00115743
-69,2,0.00116077
-68,2,0.00116414
-67,2,0.00116754
-66,2,0.00117097
-65,2,0.00117442
-64,2,0.00117789
-63,2,0.00118139
-62,2,0.00118491
-61,2,0.00118846
-60,2,0.00119202
-59,2,0.00119561
-58,2,0.00119921
-57,2,0.00120283
-56,2,0.00120646
-55,2,0.00121011
-54,2,0.00121377
-53,2,0.00121745
-52,2,0.00122114
-51,2,0.00122483
-50,2,0.00122854
-49,2,0.00123226
-48,2,0.00123598
-47,2,0.0012397
-46,2,0.00124344
-45,2,0.00124717
-44,2,0.00125091
-43,2,0.00125464
-42,2,0.00125838
-41,2,0.00126212
-40,2,0.00126585
-39,2,0.00126958
-38,2,0.0012733
-37,2,0.00127702
-36,2,0.00128073
-35,2,0.00128443
-34,2,0.00128813
-33,2,0.00129181
-32,2,0.00129548
-31,2,0.00129913
-30,2,0.00130277
-29,2,0.0013064
-28,2,0.00131001
-27,2,0.0013136
-26,2,0.00131717
-25,2,0.00132073
-24,2,0.00132426
-23,2,0.00132776
-22,2,0.00133125
-21,2,0.00133471
-20,2,0.00133814
-19,2,0.00134155
-18,2,0.00134493
-17,2,0.00134828
-16,2,0.0013516
-15,2,0.00135489
-14,2,0.00135815
-13,2,0.00136137
-12,2,0.00136456
-11,2,0.00136771
-10,2,0.00137083
-9,2,0.00137391
-8,2,0.00137695
-7,2,0.00137996
-6,2,0.00138292
-5,2,0.00138584
-4,2,0.00138872
-3,2,0.00139156
-2,2,0.00139435
-1,2,0.0013971
0,2,0.0013998
1,2,0.00140246
2,2,0.00140507
3,2,0.00140763
4,2,0.00141014
5,2,0.0014126
6,2,0.00141501
7,2,0.00141737
8,2,0.00141968
9,2,0.00142194
10,2,0.00142414
11,2,0.00142629
12,2,0.00142838
13,2,0.00143042
14,2,0.0014324
15,2,0.00143433
16,2,0.0014362
17,2,0.00143801
18,2,0.00143976
19,2,0.00144145
20,2,0.00144309
21,2,0.00144466
22,2,0.00144618
23,2,0.00144763
24,2,0.00144902
25,2,0.00145035
26,2,0.00145162
27,2,0.00145283
28,2,0.00145397
29,2,0.00145505
30,2,0.00145607
31,2,0.00145702
32,2,0.00145791
33,2,0.00145874
34,2,0.0014595
35,2,0.0014602
36,2,0.00146083
37,2,0.0014614
38,2,0.0014619
39,2,0.00146234
40,2,0.00146271
41,2,0.00146302
42,2,0.00146326
43,2,0.00146344
44,2,0.00146355
45,2,0.0014636
46,2,0.00146358
47,2,0.00146349
48,2,0.00146335
49,2,0.00146313
50,2,0.00146285
51,2,0.00146251
52,2,0.0014621
53,2,0.00146163
54,2,0.00146109
55,2,0.00146049
56,2,0.00145982
57,2,0.0014591
58,2,0.0014583
59,2,0.00145745
60,2,0.00145653
61,2,0.00145555
62,2,0.00145451
63,2,0.00145341
64,2,0.00145225
65,2,0.00145102
66,2,0.00144974
67,2,0.00144839
68,2,0.00144699
69,2,0.00144553
70,2,0.001444
71,2,0.00144242
72,2,0.00144079
73,2,0.00143909
74,2,0.00143735
75,2,0.00143554
76,2,0.00143368
77,2,0.00143176
78,2,0.0014298
79,2,0.00142777
80,2,0.0014257
81,2,0.00142357
82,2,0.00142139
83,2,0.00141917
84,2,0.00141689
85,2,0.00141456
86,2,0.00141219
87,2,0.00140976
88,2,0.00140729
89,2,0.00140478
90,2,0.00140222
91,2,0.00139961
92,2,0.00139696
93,2,0.00139427
94,2,0.00139154
95,2,0.00138876
96,2,0.00138595
97,2,0.00138309
98,2,0.0013802
99,2,0.00137727
100,2,0.0013743
101,2,0.0013713
102,2,0.00136826
103,2,0.00136519
104,2,0.00136208
105,2,0.00135895
106,2,0.00135578
107,2,0.00135258
108,2,0.00134935
109,2,0.0013461
110,2,0.00134281
111,2,0.0013395
112,2,0.00133617
113,2,0.00133281
114,2,0.00132943
115,2,0.00132602
116,2,0.00132259
117,2,0.00131915
118,2,0.00131568
119,2,0.0013122
120,2,0.00130869
121,2,0.00130518
122,2,0.00130164
123,2,0.0012981
124,2,0.00129454
125,2,0.00129096
126,2,0.00128738
127,2,0.00128379
128,2,0.00128018
129,2,0.00127657
130,2,0.00127296
131,2,0.00126933
132,2,0.00126571
133,2,0.00126207
134,2,0.00125844
135,2,0.00125481
136,2,0.00125117
137,2,0.00124753
138,2,0.0012439
139,2,0.00124027
140,2,0.00123664
141,2,0.00123302
142,2,0.0012294
143,2,0.0012258
144,2,0.00122219
145,2,0.0012186
146,2,0.00121502
147,2,0.00121145
148,2,0.00120789
149,2,0.00120434
150,2,0.00120081
151,2,0.00119729
152,2,0.00119379
153,2,0.00119031
154,2,0.00118685
155,2,0.0011834
156,2,0.00117998
157,2,0.00117657
158,2,0.00117319
159,2,0.00116983
160,2,0.0011665
161,2,0.00116319
162,2,0.00115991
163,2,0.00115665
164,2,0.00115343
165,2,0.00115023
166,2,0.00114706
167,2,0.00114392
168,2,0.00114082
169,2,0.00113774
170,2,0.00113471
171,2,0.0011317
172,2,0.00112873
173,2,0.0011258
174,2,0.0011229
175,2,0.00112005
176,2,0.00111723
177,2,0.00111445
178,2,0.00111171
179,2,0.00110902
180,2,0.00110636
-180,3,0.0025843
-179,3,0.00258041
-178,3,0.00257659
-177,3,0.00257284
-176,3,0.00256915
-175,3,0.00256553
-174,3,0.00256198
-173,3,0.0025585
-172,3,0.00255509
-171,3,0.00255176
-170,3,0.0025485
-169,3,0.00254531
-168,3,0.0025422
-167,3,0.00253916
-166,3,0.0025362
-165,3,0.00253333
-164,3,0.00253053
-163,3,0.00252781
-162,3,0.00252517
-161,3,0.00252261
-160,3,0.00252014
-159,3,0.00251774
-158,3,0.00251544
-157,3,0.00251322
-156,3,0.00251108
-155,3,0.00250903
-154,3,0.00250707
-153,3,0.00250519
-152,3,0.0025034
-151,3,0.00250171
-150,3,0.0025001
-149,3,0.00249858
-148,3,0.00249715
-147,3,0.00249581
-146,3,0.00249456
-145,3,0.00249341
-144,3,0.00249235
-143,3,0.00249138
-142,3,0.0024905
-141,3,0.00248972
-140,3,0.00248903
-139,3,0.00248843
-138,3,0.00248793
-137,3,0.00248753
-136,3,0.00248721
-135,3,0.002487
-134,3,0.00248688
-133,3,0.00248685
-132,3,0.00248692
-131,3,0.00248708
-130,3,0.00248734
-129,3,0.0024877
-128,3,0.00248815
-127,3,0.00248869
-126,3,0.00248933
-125,3,0.00249007
-124,3,0.0024909
-123,3,0.00249182
-122,3,0.00249284
-121,3,0.00249396
-120,3,0.00249517
-119,3,0.00249647
-118,3,0.00249787
-117,3,0.00249935
-116,3,0.00250094
-115,3,0.00250261
-114,3,0.00250438
-113,3,0.00250624
-112,3,0.00250819
-111,3,0.00251023
-110,3,0.00251236
-109,3,0.00251458
-108,3,0.00251689
-107,3,0.00251929
-106,3,0.00252178
-105,3,0.00252435
-104,3,0.00252701
-103,3,0.00252976
-102,3,0.00253259
-101,3,0.0025355
-100,3,0.0025385
-99,3,0.00254158
-98,3,0.00254474
-97,3,0.00254799
-96,3,0.00255131
-95,3,0.00255471
-94,3,0.00255819
-93,3,0.00256175
-92,3,0.00256538
-91,3,0.00256909
-90,3,0.00257287
-89,3,0.00257673
-88,3,0.00258065
-87,3,0.00258465
-86,3,0.00258872
-85,3,0.00259285
-84,3,0.00259705
-83,3,0.00260132
-82,3,0.00260565
-81,3,0.00261004
-80,3,0.0026145
-79,3,0.00261902
-78,3,0.00262359
-77,3,0.00262822
-76,3,0.00263291
-75,3,0.00263766
-74,3,0.00264245
-73,3,0.0026473
-72,3,0.0026522
-71,3,0.00265715
-70,3,0.00266215
-69,3,0.00266719
-68,3,0.00267228
-67,3,0.00267741
-66,3,0.00268258
-65,3,0.00268779
-64,3,0.00269304
-63,3,0.00269833
-62,3,0.00270365
-61,3,0.002709
-60,3,0.00271438
-59,3,0.0027198
-58,3,0.00272524
-57,3,0.00273071
-56,3,0.0027362
-55,3,0.00274172
-54,3,0.00274725
-53,3,0.00275281
-52,3,0.00275839
-51,3,0.00276398
-50,3,0.00276958
-49,3,0.0027752
-48,3,0.00278082
-47,3,0.00278646
-46,3,0.0027921
-45,3,0.00279775
-44,3,0.0028034
-43,3,0.00280905
-42,3,0.00281471
-41,3,0.00282036
-40,3,0.002826
-39,3,0.00283164
-38,3,0.00283728
-37,3,0.0028429
-36,3,0.00284851
-35,3,0.00285411
-34,3,0.00285969
-33,3,0.00286526
-32,3,0.00287081
-31,3,0.00287634
-30,3,0.00288185
-29,3,0.00288733
-28,3,0.00289279
-27,3,0.00289821
-26,3,0.00290361
-25,3,0.00290898
-24,3,0.00291432
-23,3,0.00291962
-22,3,0.00292489
-21,3,0.00293012
-20,3,0.00293531
-19,3,0.00294045
-18,3,0.00294556
-17,3,0.00295062
-16,3,0.00295563
-15,3,0.00296059
-14,3,0.00296551
