"dL [mm]","R_wire [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
4.8,0.1,24.4166666666667,44.5983849433937,-56.6317352223132
4.8,0.1,24.4333333333333,44.6980965740827,-56.3516622388791
4.8,0.1,24.45,44.7980290025291,-56.0717105571438
4.8,0.1,24.4666666666667,44.8981827031624,-55.7918798752247
4.8,0.1,24.4833333333333,44.9985581515182,-55.5121698931076
4.8,0.1,24.5,45.0991558242405,-55.232580312648
4.8,0.1,24.5166666666667,45.199976199084,-54.9531108375705
4.8,0.1,24.5333333333333,45.3010197549169,-54.6737611734695
4.8,0.1,24.55,45.4022869717232,-54.3945310278096
4.8,0.1,24.5666666666667,45.5037783306053,-54.1154201099255
4.8,0.1,24.5833333333333,45.6054943137862,-53.8364281310229
4.8,0.1,24.6,45.7074354046124,-53.5575548041786
4.8,0.1,24.6166666666667,45.8096020875562,-53.2787998443409
4.8,0.1,24.6333333333333,45.9119948482181,-53.0001629683306
4.8,0.1,24.65,46.0146141733296,-52.7216438948406
4.8,0.1,24.6666666666667,46.1174605507556,-52.4432423444374
4.8,0.1,24.6833333333333,46.2205344694969,-52.1649580395611
4.8,0.1,24.7,46.3238364196929,-51.886790704526
4.8,0.1,24.7166666666667,46.4273668926241,-51.6087400655216
4.8,0.1,24.7333333333333,46.5311263807145,-51.3308058506133
4.8,0.1,24.75,46.6351153775345,-51.0529877897425
4.8,0.1,24.7666666666667,46.7393343778034,-50.775285614728
4.8,0.1,24.7833333333333,46.8437838773917,-50.4976990592668
4.8,0.1,24.8,46.9484643733242,-50.2202278589341
4.8,0.1,24.8166666666667,47.0533763637822,-49.9428717511852
4.8,0.1,24.8333333333333,47.1585203481065,-49.665630475356
4.8,0.1,24.85,47.2638968267998,-49.3885037726634
4.8,0.1,24.8666666666667,47.3695063015293,-49.1114913862071
4.8,0.1,24.8833333333333,47.4753492751296,-48.83459306097
4.8,0.1,24.9,47.5814262516052,-48.5578085438196
4.8,0.1,24.9166666666667,47.6877377361332,-48.2811375835087
4.8,0.1,24.9333333333333,47.7942842350661,-48.0045799306769
4.8,0.1,24.95,47.9010662559344,-47.7281353378513
4.8,0.1,24.9666666666667,48.0080843074492,-47.4518035594481
4.8,0.1,24.9833333333333,48.1153388995052,-47.1755843517736
4.8,0.1,25,48.2228305431832,-46.8994774730252
4.8,0.1,25.0166666666667,48.330559750753,-46.6234826832932
4.8,0.1,25.0333333333333,48.438527035676,-46.3475997445617
4.8,0.1,25.05,48.546732912608,-46.07182842071
4.8,0.1,25.0666666666667,48.6551778974022,-45.7961684775141
4.8,0.1,25.0833333333333,48.7638625071115,-45.5206196826482
4.8,0.1,25.1,48.8727872599919,-45.2451818056858
4.8,0.1,25.1166666666667,48.9819526755047,-44.9698546181016
4.8,0.1,25.1333333333333,49.0913592743196,-44.6946378932728
4.8,0.1,25.15,49.2010075783178,-44.4195314064804
4.8,0.1,25.1666666666667,49.3108981105942,-44.1445349349118
4.8,0.1,25.1833333333333,49.4210313954608,-43.869648257661
4.8,0.1,25.2,49.5314079584493,-43.5948711557314
4.8,0.1,25.2166666666667,49.642028326314,-43.320203412037
4.8,0.1,25.2333333333333,49.7528930270347,-43.0456448114044
4.8,0.1,25.25,49.8640025898194,-42.7711951405743
4.8,0.1,25.2666666666667,49.9753575451076,-42.4968541882035
4.8,0.1,25.2833333333333,50.0869584245729,-42.2226217448668
4.8,0.1,25.3,50.1988057611259,-41.9484976030586
4.8,0.1,25.3166666666667,50.3109000889173,-41.6744815571955
4.8,0.1,25.3333333333333,50.4232419433407,-41.4005734036175
4.8,0.1,25.35,50.5358318610355,-41.1267729405903
4.8,0.1,25.3666666666667,50.6486703798903,-40.8530799683076
4.8,0.1,25.3833333333333,50.7617580390452,-40.5794942888929
4.8,0.1,25.4,50.8750953788952,-40.3060157064016
4.8,0.1,25.4166666666667,50.9886829410933,-40.0326440268234
4.8,0.1,25.4333333333333,51.1025212685529,-39.7593790580842
4.8,0.1,25.45,51.2166109054517,-39.4862206100488
4.8,0.1,25.4666666666667,51.330952397234,-39.2131684945226
4.8,0.1,25.4833333333333,51.4455462906138,-38.9402225252544
4.8,0.1,25.5,51.5603931335786,-38.6673825179384
4.8,0.1,25.5166666666667,51.6754934753915,-38.3946482902167
4.8,0.1,25.5333333333333,51.7908478665945,-38.1220196616823
4.8,0.1,25.55,51.9064568590124,-37.8494964538805
4.8,0.1,25.5666666666667,52.0223210057545,-37.5770784903122
4.8,0.1,25.5833333333333,52.138440861219,-37.3047655964365
4.8,0.1,25.6,52.2548169810953,-37.0325575996726
4.8,0.1,25.6166666666667,52.3714499223676,-36.7604543294033
4.8,0.1,25.6333333333333,52.4883402433175,-36.4884556169771
4.8,0.1,25.65,52.6054885035279,-36.2165612957112
4.8,0.1,25.6666666666667,52.7228952638856,-35.9447712008939
4.8,0.1,25.6833333333333,52.8405610865844,-35.6730851697881
4.8,0.1,25.7,52.9584865351289,-35.4015030416333
4.8,0.1,25.7166666666667,53.076672174337,-35.1300246576492
4.8,0.1,25.7333333333333,53.1951185703435,-34.8586498610381
4.8,0.1,25.75,53.3138262906035,-34.5873784969883
4.8,0.1,25.7666666666667,53.4327959038949,-34.3162104126767
4.8,0.1,25.7833333333333,53.5520279803226,-34.0451454572724
4.8,0.1,25.8,53.6715230913209,-33.7741834819392
4.8,0.1,25.8166666666667,53.7912818096574,-33.5033243398391
4.8,0.1,25.8333333333333,53.9113047094358,-33.2325678861354
4.8,0.1,25.85,54.0315923660997,-32.9619139779959
4.8,0.1,25.8666666666667,54.1521453564353,-32.6913624745964
4.8,0.1,25.8833333333333,54.2729642585752,-32.4209132371236
4.8,0.1,25.9,54.3940496520018,-32.1505661287786
4.8,0.1,25.9166666666667,54.51540211755,-31.8803210147807
4.8,0.1,25.9333333333333,54.637022237411,-31.6101777623706
4.8,0.1,25.95,54.758910595136,-31.3401362408133
4.8,0.1,25.9666666666667,54.8810677756387,-31.0701963214027
4.8,0.1,25.9833333333333,55.0034943651996,-30.8003578774645
4.8,0.1,26,55.1261909514687,-30.5306207843598
4.8,0.1,26.0166666666667,55.2491581234694,-30.2609849194894
4.8,0.1,26.0333333333333,55.3723964716015,-29.9914501622967
4.8,0.1,26.05,55.4959065876452,-29.722016394272
4.8,0.1,26.0666666666667,55.6196890647639,-29.4526834989563
4.8,0.1,26.0833333333333,55.7437444975079,-29.183451361945
4.8,0.1,26.1,55.8680734818184,-28.9143198708915
4.8,0.1,26.1166666666667,55.9926766150302,-28.6452889155122
4.8,0.1,26.1333333333333,56.1175544958754,-28.3763583875892
4.8,0.1,26.15,56.2427077244874,-28.1075281809751
4.8,0.1,26.1666666666667,56.3681369024037,-27.8387981915973
4.8,0.1,26.1833333333333,56.4938426325702,-27.5701683174616
4.8,0.1,26.2,56.619825519344,-27.3016384586565
4.8,0.1,26.2166666666667,56.7460861684975,-27.0332085173576
4.8,0.1,26.2333333333333,56.8726251872218,-26.7648783978321
4.8,0.1,26.25,56.9994431841299,-26.4966480064427
4.8,0.1,26.2666666666667,57.1265407692613,-26.2285172516523
4.8,0.1,26.2833333333333,57.2539185540843,-25.9604860440282
4.8,0.1,26.3,57.3815771515008,-25.6925542962469
4.8,0.1,26.3166666666667,57.5095171758492,-25.4247219230985
4.8,0.1,26.3333333333333,57.6377392429084,-25.1569888414913
4.8,0.1,26.35,57.7662439699012,-24.8893549704561
4.8,0.1,26.3666666666667,57.8950319754981,-24.6218202311519
4.8,0.1,26.3833333333333,58.0241038798211,-24.3543845468694
4.8,0.1,26.4,58.1534603044473,-24.0870478430367
4.8,0.1,26.4166666666667,58.2831018724126,-23.8198100472237
4.8,0.1,26.4333333333333,58.4130292082152,-23.5526710891475
4.8,0.1,26.45,58.5432429378199,-23.2856309006766
4.8,0.1,26.4666666666667,58.6737436886613,-23.0186894158365
